t	P_kN	v4_mm	sigma1	sigma2	sigma3	sigma4
1.165829145728643157e+00	8.797895728643212010e+01	-1.370022579961556062e+02	2.443155991583864761e+02	-2.502512562814069668e+02	-2.325157737488882503e+02	1.684555322834787319e+02
1.175879396984924607e+00	8.691896984924619574e+01	-1.353516283817441490e+02	2.413720377227433005e+02	-2.472361809045226266e+02	-2.297143788844441019e+02	1.664259475571718383e+02
1.185929648241206058e+00	8.585898241206025716e+01	-1.337009987673326066e+02	2.384284762871000396e+02	-2.442211055276381728e+02	-2.269129840199994987e+02	1.643963628308647174e+02
1.195979899497487509e+00	8.479899497487431859e+01	-1.320503691529210641e+02	2.354849148514568924e+02	-2.412060301507536906e+02	-2.241115891555552082e+02	1.623667781045576533e+02
1.206030150753768959e+00	8.373900753768839422e+01	-1.303997395385095501e+02	2.325413534158136599e+02	-2.381909547738692368e+02	-2.213101942911106903e+02	1.603371933782506744e+02
1.216080402010050188e+00	8.267902010050248407e+01	-1.287491099240980361e+02	2.295977919801703990e+02	-2.351758793969849251e+02	-2.185087994266661440e+02	1.583076086519437240e+02
1.226130653266331638e+00	8.161903266331655971e+01	-1.270984803096865363e+02	2.266542305445272802e+02	-2.321608040201004997e+02	-2.157074045622217682e+02	1.562780239256367452e+02
1.236180904522613089e+00	8.055904522613062113e+01	-1.254478506952750223e+02	2.237106691088839909e+02	-2.291457286432160458e+02	-2.129060096977774492e+02	1.542484391993298232e+02
1.246231155778894539e+00	7.949905778894468256e+01	-1.237972210808635083e+02	2.207671076732407869e+02	-2.261306532663316204e+02	-2.101046148333329597e+02	1.522188544730228159e+02
1.256281407035175990e+00	7.843907035175875819e+01	-1.221465914664519801e+02	2.178235462375975828e+02	-2.231155778894471382e+02	-2.073032199688884134e+02	1.501892697467159792e+02
1.266331658291457218e+00	7.737908291457283383e+01	-1.204959618520405087e+02	2.148799848019544640e+02	-2.201005025125629118e+02	-2.045018251044439808e+02	1.481596850204090003e+02
1.276381909547738669e+00	7.631909547738689525e+01	-1.188453322376289805e+02	2.119364233663111747e+02	-2.170854271356783443e+02	-2.017004302399996334e+02	1.461301002941021352e+02
1.286432160804020119e+00	7.525910804020097089e+01	-1.171947026232174665e+02	2.089928619306680559e+02	-2.140703517587939757e+02	-1.988990353755551723e+02	1.441005155677950142e+02
1.296482412060301570e+00	7.419912060301503232e+01	-1.155440730088059382e+02	2.060493004950247666e+02	-2.110552763819094935e+02	-1.960976405111107681e+02	1.420709308414879501e+02
1.306532663316583021e+00	7.313913316582910795e+01	-1.138934433943943958e+02	2.031057390593815057e+02	-2.080402010050250965e+02	-1.932962456466662218e+02	1.400413461151809145e+02
1.316582914572864249e+00	7.207914572864319780e+01	-1.122428137799829244e+02	2.001621776237384154e+02	-2.050251256281407279e+02	-1.904948507822218460e+02	1.380117613888741062e+02
1.326633165829145700e+00	7.101915829145725922e+01	-1.105921841655714246e+02	1.972186161880952113e+02	-2.020100502512562741e+02	-1.876934559177774133e+02	1.359821766625671273e+02
1.336683417085427150e+00	6.995917085427133486e+01	-1.089415545511599106e+02	1.942750547524519504e+02	-1.989949748743719056e+02	-1.848920610533329807e+02	1.339525919362601769e+02
1.346733668341708601e+00	6.889918341708539629e+01	-1.072909249367483682e+02	1.913314933168087464e+02	-1.959798994974874233e+02	-1.820906661888884912e+02	1.319230072099531128e+02
1.356783919597990051e+00	6.783919597989947192e+01	-1.056402953223368684e+02	1.883879318811654855e+02	-1.929648241206030264e+02	-1.792892713244440586e+02	1.298934224836461908e+02
