x	exact	n1	n2	n3	n4	n5	n8	n12	n20	n30	n50
0.042084	0.084168	0.001660	0.006455	0.014376	0.020449	0.024276	0.051699	0.070963	0.073065	0.073071	0.071678
0.044088	0.088176	0.001822	0.007075	0.015728	0.022336	0.026480	0.055769	0.075491	0.077699	0.077637	0.076192
0.046092	0.092184	0.001992	0.007722	0.017135	0.024297	0.028765	0.059915	0.080003	0.082302	0.082172	0.080685
0.048096	0.096192	0.002169	0.008397	0.018598	0.026329	0.031129	0.064127	0.084491	0.086868	0.086672	0.085152
0.050100	0.100200	0.002353	0.009098	0.020116	0.028432	0.033570	0.068400	0.088951	0.091390	0.091130	0.089588
0.052104	0.104208	0.002545	0.009827	0.021687	0.030606	0.036087	0.072728	0.093379	0.095865	0.095545	0.093990
0.054108	0.108216	0.002745	0.010583	0.023313	0.032847	0.038678	0.077104	0.097771	0.100289	0.099912	0.098354
0.056112	0.112224	0.002952	0.011365	0.024991	0.035157	0.041341	0.081523	0.102126	0.104658	0.104231	0.102681
0.058116	0.116232	0.003166	0.012175	0.026722	0.037532	0.044075	0.085979	0.106441	0.108971	0.108499	0.106967
0.060120	0.120240	0.003389	0.013011	0.028504	0.039972	0.046878	0.090468	0.110715	0.113227	0.112716	0.111212
0.062124	0.124248	0.003618	0.013873	0.030338	0.042477	0.049748	0.094984	0.114949	0.117426	0.116884	0.115417
0.064128	0.128257	0.003855	0.014762	0.032223	0.045044	0.052684	0.099524	0.119141	0.121567	0.121002	0.119582
0.066132	0.132265	0.004100	0.015677	0.034157	0.047673	0.055684	0.104082	0.123293	0.125653	0.125071	0.123707
0.068136	0.136273	0.004352	0.016619	0.036142	0.050362	0.058748	0.108655	0.127405	0.129683	0.129094	0.127794
0.070140	0.140281	0.004612	0.017586	0.038175	0.053112	0.061872	0.113238	0.131479	0.133661	0.133072	0.131844
0.072144	0.144289	0.004879	0.018579	0.040256	0.055919	0.065056	0.117829	0.135515	0.137588	0.137008	0.135858
0.074148	0.148297	0.005154	0.019598	0.042386	0.058784	0.068299	0.122425	0.139516	0.141468	0.140904	0.139839
0.076152	0.152305	0.005437	0.020643	0.044562	0.061705	0.071598	0.127021	0.143484	0.145303	0.144764	0.143788
0.078156	0.156313	0.005727	0.021713	0.046786	0.064681	0.074953	0.131615	0.147420	0.149096	0.148589	0.147708
0.080160	0.160321	0.006024	0.022809	0.049055	0.067711	0.078362	0.136205	0.151327	0.152850	0.152384	0.151601
0.082164	0.164329	0.006329	0.023929	0.051370	0.070795	0.081823	0.140788	0.155207	0.156570	0.156150	0.155469
0.084168	0.168337	0.006642	0.025075	0.053731	0.073930	0.085336	0.145362	0.159063	0.160259	0.159893	0.159315
0.086172	0.172345	0.006962	0.026247	0.056135	0.077117	0.088898	0.149924	0.162897	0.163921	0.163614	0.163140
0.088176	0.176353	0.007289	0.027443	0.058584	0.080354	0.092509	0.154473	0.166711	0.167560	0.167318	0.166948
0.090180	0.180361	0.007624	0.028663	0.061076	0.083639	0.096167	0.159006	0.170509	0.171178	0.171006	0.170741
0.092184	0.184369	0.007967	0.029909	0.063611	0.086973	0.099871	0.163523	0.174292	0.174782	0.174684	0.174521
0.094188	0.188377	0.008317	0.031179	0.066188	0.090354	0.103619	0.168022	0.178062	0.178373	0.178352	0.178290
0.096192	0.192385	0.008675	0.032473	0.068807	0.093781	0.107411	0.172501	0.181823	0.181955	0.182016	0.182051
0.098196	0.196393	0.009040	0.033792	0.071467	0.097252	0.111245	0.176960	0.185576	0.185533	0.185677	0.185805
0.100200	0.200401	0.009413	0.035135	0.074168	0.100768	0.115120	0.181397	0.189324	0.189110	0.189338	0.189556
0.102204	0.204409	0.009793	0.036503	0.076910	0.104328	0.119035	0.185811	0.193070	0.192689	0.193002	0.193304
0.104208	0.208417	0.010181	0.037894	0.079690	0.107929	0.122987	0.190202	0.196814	0.196273	0.196672	0.197052
0.106212	0.212425	0.010576	0.039309	0.082510	0.111572	0.126978	0.194569	0.200559	0.199866	0.200350	0.200802
0.108216	0.216433	0.010979	0.040747	0.085369	0.115255	0.131004	0.198911	0.204307	0.203470	0.204038	0.204555
0.110220	0.220441	0.011389	0.042210	0.088266	0.118977	0.135065	0.203228	0.208059	0.207088	0.207738	0.208312
0.112224	0.224449	0.011807	0.043695	0.091200	0.122739	0.139160	0.207520	0.211818	0.210722	0.211452	0.212076
0.114228	0.228457	0.012233	0.045204	0.094171	0.126537	0.143288	0.211787	0.215584	0.214375	0.215181	0.215848
0.116232	0.232465	0.012666	0.046737	0.097179	0.130373	0.147448	0.216027	0.219359	0.218050	0.218928	0.219629
0.118236	0.236473	0.013106	0.048292	0.100223	0.134244	0.151638	0.220242	0.223145	0.221747	0.222694	0.223419
0.120240	0.240481	0.013554	0.049871	0.103302	0.138151	0.155857	0.224430	0.226942	0.225469	0.226479	0.227221
0.122244	0.244489	0.014010	0.051472	0.106416	0.142091	0.160105	0.228593	0.230752	0.229216	0.230285	0.231034
0.124248	0.248497	0.014473	0.053096	0.109565	0.146065	0.164381	0.232731	0.234575	0.232991	0.234113	0.234861
0.126253	0.252505	0.014943	0.054743	0.112748	0.150071	0.168683	0.236843	0.238413	0.236795	0.237964	0.238701
0.128257	0.256513	0.015422	0.056412	0.115965	0.154109	0.173010	0.240930	0.242265	0.240628	0.241837	0.242555
0.130261	0.260521	0.015907	0.058104	0.119214	0.158178	0.177362	0.244992	0.246132	0.244491	0.245734	0.246423
0.132265	0.264529	0.016401	0.059818	0.122496	0.162276	0.181737	0.249030	0.250015	0.248384	0.249654	0.250307
0.134269	0.268537	0.016901	0.061554	0.125810	0.166404	0.186135	0.253044	0.253915	0.252308	0.253597	0.254206
0.136273	0.272545	0.017410	0.063312	0.129155	0.170560	0.190555	0.257035	0.257830	0.256263	0.257565	0.258120
0.138277	0.276553	0.017925	0.065092	0.132532	0.174744	0.194995	0.261004	0.261762	0.260248	0.261555	0.262050
0.140281	0.280561	0.018449	0.066894	0.135939	0.178954	0.199455	0.264950	0.265711	0.264264	0.265569	0.265996
0.142285	0.284569	0.018980	0.068717	0.139376	0.183190	0.203934	0.268874	0.269676	0.268310	0.269605	0.269957
0.144289	0.288577	0.019518	0.070562	0.142842	0.187452	0.208431	0.272778	0.273657	0.272386	0.273664	0.273933
0.146293	0.292585	0.020064	0.072428	0.146338	0.191738	0.212945	0.276661	0.277654	0.276490	0.277743	0.277925
0.148297	0.296593	0.020617	0.074316	0.149862	0.196047	0.217475	0.280525	0.281666	0.280621	0.281843	0.281933
0.150301	0.300601	0.021178	0.076225	0.153415	0.200380	0.222021	0.284371	0.285694	0.284780	0.285963	0.285954
0.152305	0.304609	0.021747	0.078155	0.156995	0.204735	0.226582	0.288199	0.289736	0.288964	0.290102	0.289990
0.154309	0.308617	0.022323	0.080106	0.160603	0.209111	0.231157	0.292010	0.293793	0.293172	0.294258	0.294041
0.156313	0.312625	0.022907	0.082078	0.164237	0.213508	0.235744	0.295804	0.297863	0.297403	0.298431	0.298104
0.158317	0.316633	0.023498	0.084070	0.167897	0.217924	0.240344	0.299584	0.301946	0.301656	0.302620	0.302181
0.160321	0.320641	0.024096	0.086083	0.171584	0.222361	0.244956	0.303348	0.306041	0.305929	0.306823	0.306270
0.162325	0.324649	0.024702	0.088117	0.175295	0.226815	0.249578	0.307100	0.310148	0.310220	0.311039	0.310370
0.164329	0.328657	0.025316	0.090171	0.179032	0.231288	0.254211	0.310838	0.314266	0.314528	0.315266	0.314482
0.166333	0.332665	0.025937	0.092245	0.182793	0.235778	0.258853	0.314565	0.318394	0.318851	0.319504	0.318605
0.168337	0.336673	0.026566	0.094339	0.186578	0.240284	0.263503	0.318281	0.322530	0.323187	0.323752	0.322737
0.170341	0.340681	0.027202	0.096453	0.190386	0.244807	0.268162	0.321987	0.326675	0.327534	0.328007	0.326878
0.172345	0.344689	0.027846	0.098587	0.194218	0.249344	0.272828	0.325683	0.330828	0.331891	0.332269	0.331028
0.174349	0.348697	0.028498	0.100741	0.198072	0.253896	0.277500	0.329372	0.334986	0.336255	0.336535	0.335185
0.176353	0.352705	0.029157	0.102914	0.201949	0.258462	0.282179	0.333053	0.339151	0.340626	0.340806	0.339349
0.178357	0.356713	0.029823	0.105107	0.205847	0.263041	0.286862	0.336728	0.343320	0.345000	0.345079	0.343519
0.180361	0.360721	0.030497	0.107320	0.209767	0.267633	0.291551	0.340397	0.347493	0.349376	0.349352	0.347694
0.182365	0.364729	0.031178	0.109551	0.213707	0.272237	0.296243	0.344061	0.351669	0.353753	0.353626	0.351874
0.184369	0.368737	0.031867	0.111802	0.217668	0.276853	0.300939	0.347722	0.355848	0.358128	0.357898	0.356057
0.186373	0.372745	0.032564	0.114071	0.221649	0.281479	0.305638	0.351379	0.360027	0.362500	0.362167	0.360244
0.188377	0.376754	0.033268	0.116360	0.225650	0.286115	0.310339	0.355035	0.364207	0.366866	0.366433	0.364432
0.190381	0.380762	0.033980	0.118667	0.229670	0.290761	0.315042	0.358689	0.368386	0.371226	0.370693	0.368622
0.192385	0.384770	0.034699	0.120993	0.233708	0.295416	0.319746	0.362343	0.372565	0.375578	0.374947	0.372813
0.194389	0.388778	0.035425	0.123338	0.237765	0.300079	0.324451	0.365997	0.376741	0.379920	0.379193	0.377003
0.196393	0.392786	0.036159	0.125701	0.241840	0.304751	0.329156	0.369653	0.380914	0.384250	0.383431	0.381192
0.198397	0.396794	0.036901	0.128082	0.245933	0.309429	0.333860	0.373310	0.385084	0.388568	0.387660	0.385380
0.200401	0.400802	0.037650	0.130481	0.250042	0.314114	0.338563	0.376970	0.389249	0.392871	0.391878	0.389566
0.202405	0.404810	0.038407	0.132899	0.254168	0.318806	0.343265	0.380633	0.393410	0.397159	0.396085	0.393748
0.204409	0.408818	0.039172	0.135334	0.258310	0.323503	0.347965	0.384301	0.397565	0.401430	0.400280	0.397927
0.206413	0.412826	0.039943	0.137787	0.262469	0.328205	0.352663	0.387973	0.401714	0.405684	0.404462	0.402101
0.208417	0.416834	0.040723	0.140258	0.266642	0.332912	0.357357	0.391651	0.405856	0.409919	0.408631	0.406270
0.210421	0.420842	0.041510	0.142747	0.270831	0.337623	0.362048	0.395335	0.409991	0.414134	0.412786	0.410434
0.212425	0.424850	0.042304	0.145252	0.275034	0.342337	0.366736	0.399025	0.414118	0.418328	0.416927	0.414592
0.214429	0.428858	0.043106	0.147776	0.279252	0.347055	0.371419	0.402723	0.418237	0.422502	0.421052	0.418743
0.216433	0.432866	0.043915	0.150316	0.283483	0.351775	0.376097	0.406429	0.422348	0.426653	0.425163	0.422886
0.218437	0.436874	0.044733	0.152873	0.287728	0.356497	0.380771	0.410144	0.426449	0.430782	0.429257	0.427022
0.220441	0.440882	0.045557	0.155448	0.291986	0.361220	0.385438	0.413868	0.430542	0.434889	0.433336	0.431150
0.222445	0.444890	0.046389	0.158039	0.296257	0.365945	0.390100	0.417601	0.434625	0.438972	0.437398	0.435270
